Country,State,City,Station,Last Update,Latitude,Longitude,Pollutant Id,Pollutant Min,Pollutant Max,Pollutant Avg
India,TamilNadu,Tiruchirappalli,"St Joseph College, Tiruchirappalli - TNPCB",27-11-2025 18:00,10.830158,78.691849,PM2.5,NA,NA,NA
India,TamilNadu,Tiruchirappalli,"St Joseph College, Tiruchirappalli - TNPCB",27-11-2025 18:00,10.830158,78.691849,NH3,NA,NA,NA
India,TamilNadu,Tiruchirappalli,"St Joseph College, Tiruchirappalli - TNPCB",27-11-2025 18:00,10.830158,78.691849,SO2,NA,NA,NA
India,TamilNadu,Tirunelveli,"Municipal Corporation Office, Tirunelveli - TNPCB",27-11-2025 18:00,8.728442,77.6962,SO2,4,35,15
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",27-11-2025 18:00,28.646233,77.358075,PM10,179,500,386
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",27-11-2025 18:00,28.646233,77.358075,NO2,28,143,80
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",27-11-2025 18:00,28.646233,77.358075,SO2,14,51,26
India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",27-11-2025 18:00,28.757294,77.278792,PM2.5,218,500,433
India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",27-11-2025 18:00,28.757294,77.278792,PM10,163,500,391
India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",27-11-2025 18:00,28.757294,77.278792,SO2,9,33,23
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",27-11-2025 18:00,28.685382,77.453839,NO2,82,172,127
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",27-11-2025 18:00,28.6603346,77.3572563,OZONE,4,58,15
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB",27-11-2025 18:00,28.88528,78.7388,CO,5,62,36
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB",27-11-2025 18:00,28.856664,78.772638,SO2,23,43,36
India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB",27-11-2025 18:00,28.802625,78.753728,NO2,29,30,30
India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB",27-11-2025 18:00,28.802625,78.753728,CO,12,35,21
India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB",27-11-2025 18:00,28.802625,78.753728,OZONE,25,31,28
India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",27-11-2025 18:00,29.4723508,77.7194031,PM2.5,57,415,242
